Title,My,Calculated,Performance,Cinematography,Script,Plot,Mood,Source,Title type,Directors,AVG rating,IMDb Rating,Rotten Tom.,Metacritic,Runtime (mins),Year,Genres,# of IMDb votes,IMDb Top 250,1001 Must See…,Desire to see (A-F grading),Female dir.,Bechdel,LGBTQ Russo,Good Blu-ray,Foreign dir.,Netflix/Hulu streaming,LFPL,Wild & Woolly,description,US Release Date (month/day/year),URL,Created,Modified,MIDZ,1001 position,Female
A King in New York,,0,,,,,,,Feature Film,Charles Chaplin,75,7,80,n/a,110,1957,"comedy, drama",4084,,,,,,,,,H+ DVD,,DV,,9/12/1957,http://www.imdb.com/title/tt0050598/,Fri Jan  1 11:00:00 2010,Wed Aug 10 16:04:04 2011,2576,,
A League of Their Own,9,0,,,,,,,Feature Film,Penny Marshall,70,7,,,128,1992,"comedy, drama, sport",54569,,,,Y,,,,,,,,,7/1/1992,http://www.imdb.com/title/tt0104694/,Mon Sep 21 12:00:00 2009,Wed Aug 10 16:04:04 2011,1675,,
A Life Less Ordinary,8,0,,,,,,,Feature Film,Danny Boyle,63,6.3,,,103,1997,"comedy, crime, fantasy, romance",26154,,,,,,,,,,,,,10/24/1997,http://www.imdb.com/title/tt0119535/,Fri Jun 13 12:00:00 2008,Wed Aug 10 16:04:04 2011,1599,,
A Little Princess,,0,,,,,,,Feature Film,Alfonso CuarÃ³n,75,7.5,,,97,1995,"drama, family, fantasy",17892,,,,,,,,,,,,,5/10/1995,http://www.imdb.com/title/tt0113670/,Fri May 31 05:02:37 2013,Fri May 31 05:02:37 2013,2780,,
A Man Escaped,,0,,,,,,,Feature Film,Robert Bresson,80,8,,,99,1956,"drama, thriller, war",7640,,Y,,,,,,,,,,,11/11/1956,http://www.imdb.com/title/tt0049902/,,,717,503,
A Man for All Seasons,,0,,,,,,,Feature Film,Fred Zinnemann,79,7.9,,,120,1966,"biography, drama, history",18264,,,,,,,,,,,,,12/12/1966,http://www.imdb.com/title/tt0060665/,Tue Feb 11 11:00:00 2003,Wed Aug 10 16:04:03 2011,2318,,
A Matter of Loaf and Death,9,0,,,,,,,Short Film,Nick Park,76,7.6,,,30,2008,"animation, comedy, family",6297,,,,,,,,,,,,,12/3/2008,http://www.imdb.com/title/tt1118511/,Thu Mar  4 11:00:00 2010,Wed Aug 10 16:04:04 2011,1757,,
A Mighty Heart,,0,,,,,,,Feature Film,Michael Winterbottom,66,6.6,,,108,2007,"biography, drama, history, thriller, war",21138,,,,,,,,,,,,,5/21/2007,http://www.imdb.com/title/tt0829459/,Tue Sep  4 12:00:00 2007,Wed Aug 10 16:04:03 2011,2505,,
A Mighty Wind,7,0,,,,,,,Feature Film,Christopher Guest,71,7.1,,,91,2003,"comedy, music",19466,,,,,,,,,,,,,3/12/2003,http://www.imdb.com/title/tt0310281/,Sun Mar 30 11:00:00 2003,Wed Aug 10 16:04:03 2011,1363,,
A Moment of Innocence,,0,,,,,,,Feature Film,Mohsen Makhmalbaf,76,7.6,,,78,1996,"comedy, drama",1237,,,,,,,,,,,,,8/13/1996,http://www.imdb.com/title/tt0117214/,Sat Feb 10 11:00:00 2001,Wed Aug 10 16:04:02 2011,2109,,
A Night at the Opera,,0,,,,,,,Feature Film,Sam Wood,79,7.9,,,96,1935,"comedy, music, musical",19339,,Y,,,,,,,,,,,11/8/1935,http://www.imdb.com/title/tt0026778/,,,928,836,
A Nightmare on Elm Street,,0,,,,,,,Feature Film,Wes Craven,75,7.5,,,91,1984,horror,95510,,Y,,,,,,,,,,,1984-10,http://www.imdb.com/title/tt0087800/,,,352,401,
À Nous la Liberté,,0,,,,,,DV 2002 Criterion,Feature Film,René Clair,88,7.6,100,n/a,104,1931,"comedy, musical",2348,,Y,,,,,,Fr.,H+,LFPL Cres/Fair,No,,12/18/1931,http://www.imdb.com/title/tt0022599/,,,959,897,
A Passage to India,,0,,,,,,,Feature Film,David Lean,73,7.3,,,164,1984,"adventure, drama, history",9336,,Y,,,,,,,,,,,12/14/1984,http://www.imdb.com/title/tt0087892/,,,357,478,
A Perfect Getaway,7,0,,,,,,,Feature Film,David Twohy,64,6.4,,,98,2009,"adventure, mystery, thriller",43808,,,,,,,,,,,,,8/6/2009,http://www.imdb.com/title/tt0971209/,Thu Jun  3 12:00:00 2010,Wed Aug 10 16:04:04 2011,1793,,
A Place in the Sun,,0,,,,,,,Feature Film,George Stevens,77,7.7,,,122,1951,"drama, romance",10949,,Y,,,,,,,,,,,8/14/1951,http://www.imdb.com/title/tt0043924/,,,792,942,
A Prophet,8,0,,,,,,,Feature Film,Jacques Audiard,79,7.9,,,155,2009,"drama, crime",57286,,,,,,,,,,,,,5/16/2009,http://www.imdb.com/title/tt1235166/,Wed May  5 12:00:00 2010,Wed Aug 10 16:04:04 2011,1784,,
A Question of Silence,,0,,,,,,,Feature Film,Marleen Gorris,63.5,6.6,61,n/a,92,1982,drama,434,,Y,,Y,,,,,,,,,2/18/1982,http://www.imdb.com/title/tt0086369/,,,384,470,
A Raisin in the Sun,,0,,,,,,,Feature Film,Daniel Petrie,78,7.8,,,128,1961,drama,3862,,,,,,,,,,,,,5/29/1961,http://www.imdb.com/title/tt0055353/,Mon Mar 25 11:00:00 2002,Wed Aug 10 16:04:03 2011,2234,,
A Road Not Taken,,0,,,,,,,Documentary,"Christina Hemauer, Roman Keller",79,7.9,,,66,2010,documentary,12,,,,Y,,,,Switz.,,,,,3/20/2010,http://www.imdb.com/title/tt1365056/,Tue Oct  5 12:00:00 2010,Wed Aug 10 16:04:04 2011,2632,,
A Room with a View,9,0,,,,,,,Feature Film,James Ivory,73,7.3,,,117,1985,"drama, romance",21073,,Y,,,,,,,,,,,12/13/1985,http://www.imdb.com/title/tt0091867/,,,41,411,
A Royal Affair,9,0,,,,,,,Feature Film,Nikolaj Arcel,75,7.5,,,137,2012,"drama, history, romance",16256,,,,,,,,,,,,,2/16/2012,http://www.imdb.com/title/tt1276419/,Sun Dec  9 19:12:44 2012,Sun Dec  9 19:12:44 2012,1962,,
A Scanner Darkly,7,0,,,,,,,Feature Film,Richard Linklater,70,7,,,100,2006,"animation, crime, drama, sci_fi",70768,,,,,,,,,,,,"Jon and Beetz's rental. Overrated (even if I understood it).

DATE: 2007-01-14",5/25/2006,http://www.imdb.com/title/tt0405296/,Wed Jan 17 11:00:00 2007,Wed Aug 10 16:04:04 2011,1556,,
A Separation,,0,,,,,,,Feature Film,Asghar Farhadi,84,8.4,,,123,2011,drama,90698,,Y,,,,,,,,,,,2/15/2011,http://www.imdb.com/title/tt1832382/,,,131,1002,
A Serious Man,7,0,,,,,,,Feature Film,"Ethan Coen, Joel Coen",70,7,,,106,2009,"comedy, drama",74387,,,,,,,,,,,,,9/12/2009,http://www.imdb.com/title/tt1019452/,Sun Mar  7 11:00:00 2010,Wed Aug 10 16:04:04 2011,1758,,
A Simple Life,,0,,,,,,,Feature Film,Ann Hui,83,7.6,92,81,118,2011,drama,2571,,,B,Y,,,,Chinese,H+ DVD,Az Vu Sony,No,,,,11/14/2013,,2914,,
A Single Man,,0,,,,,,,Feature Film,Tom Ford,75,7.5,,,99,2009,drama,61084,,,,,,,,,,,,,9/11/2009,http://www.imdb.com/title/tt1315981/,Sun Mar  7 11:00:00 2010,Wed Aug 10 16:04:04 2011,2597,,
A Star Is Born,,0,,,,,,,Feature Film,George Cukor,77,7.7,,,154,1954,"drama, musical, romance",8186,,Y,,,,,,,,,,,9/29/1954,http://www.imdb.com/title/tt0047522/,,,754,619,
A Streetcar Named Desire,,0,,,,,,,Feature Film,Elia Kazan,89,8,98,n/a,122,1951,drama,57949,,Y,B,,3,,,,DVD,"LFPL Main, Bon, Iro. Az Vu Sony",,,9/18/1951,http://www.imdb.com/title/tt0044081/,,,788,805,
A Tale of Two Sisters,,0,,,,,,,Feature Film,Kim Jee-woon,73.6666666666667,7.2,84,65,115,2003,"drama, horror, mystery, thriller",32089,,,B,,3,,,S. Kor,,,DVD,,,,10/11/2013,,2821,,
A Tale of Winter,,0,,,,,,,Feature Film,Eric Rohmer,72,7.2,,,114,1992,drama,1661,,Y,,,,,,,,,,,1/29/1992,http://www.imdb.com/title/tt0104008/,,,239,188,
A Thief in the Night,,0,,,,,,,Feature Film,Donald W. Thompson,48,4.8,,,69,1972,"drama, fantasy",368,,,,,,,,,,,,,1972,http://www.imdb.com/title/tt0070795/,Sun May  6 12:00:00 2001,Wed Aug 10 16:04:02 2011,2132,,
A Throw of Dice,,0,,,,,,,Feature Film,Franz Osten,83.5,6.7,100,n/a,74,1929,"adventure, drama, romance",233,,Y,,,,,,,,,,1001 2013,,,10/14/2013,,2825,,
"A Time to Live, a Time to Die",,0,,,,,,,Feature Film,"Hsiao-hsien Hou, Jia-hua Lao",76,7.6,,,138,1985,"biography, drama",864,,Y,,,,,,,,,,,8/3/1985,http://www.imdb.com/title/tt0090185/,,,338,406,
A Touch of Zen,,0,,,,,,,Feature Film,King Hu,75,7.5,,,200,1971,adventure,1989,,Y,,,,,,,,,,,11/18/1971,http://www.imdb.com/title/tt0064451/,,,511,356,
A Trip to the Moon,9,88,9,9,7,8,10,BD 2012 Flicker,Short Film,Georges Méliès,82,8.2,,,13,1902,"adventure, fantasy, sci_fi",15172,,Y,recent,,,,Y,,,"LFPL Kino Set, Jeff/Midd",BD,Love the Air soundtrack on the new color release. All versions worth watching!,9/1/1902,http://www.imdb.com/title/tt0000417/,,12/10/2013,1007,739,
A Walk to Beautiful,9,90,9,8,9,10,9,PBS.org,TV Series,Mary Olive Smith,85,8.3,90,82,55,2008,documentary,6,,,recent,Y,,,,,Ne,,,"PBS Nova episode (55 minute version), women with fistula in Ethiopia.",,,12/6/2013,12/6/2013,2944,,
A Walk to Remember,9,0,,,,,,,Feature Film,Adam Shankman,72,7.2,,,101,2002,"drama, romance",106819,,,,,,,,,,,,,1/23/2002,http://www.imdb.com/title/tt0281358/,Wed Jan  9 11:00:00 2002,Wed Aug 10 16:04:03 2011,1279,,
A Woman Under the Influence,,0,,,,,,,Feature Film,John Cassavetes,79,7.9,,,155,1974,"drama, romance",8977,,Y,,,,,,,,LFPL Main Criterion,DV,,9/20/1974,http://www.imdb.com/title/tt0072417/,,,469,314,
A World Apart,8,0,,,,,,,Feature Film,Chris Menges,68,6.8,,,112,1988,drama,1008,,,,,,,,,,,,,1988-05,http://www.imdb.com/title/tt0096464/,Mon Jun 25 12:00:00 2001,Wed Aug 10 16:04:03 2011,1221,,
A Young Doctor's Notebook,,,,,,,,,TV Series,Alex Hardcastle (2012) and Robert McKillop (2013),78,7.7,n/a,79,24,2012,,2963,,,B,,,,,,,,,"Jon Hamm, Daniel Radliffe",,,10/28/2013,,2882,,
