"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"53","tt1596343","Thu Nov  3 00:33:49 2011","Thu Nov  3 00:33:49 2011","","Fast Five","Feature Film","Justin Lin","7.3","131","2011","action, crime, thriller","246374","2011-04-15","http://www.imdb.com/title/tt1596343/"
"54","tt0295701","Thu Nov  3 00:34:35 2011","Thu Nov  3 00:34:35 2011","","xXx","Feature Film","Rob Cohen","5.8","124","2002","action, adventure, thriller","130061","2002-08-09","http://www.imdb.com/title/tt0295701/"
"55","tt0329774","Thu Nov  3 00:34:43 2011","Thu Nov  3 00:34:43 2011","","xXx: State of the Union","Feature Film","Lee Tamahori","4.3","101","2005","action, crime, adventure, thriller","45856","2005-04-27","http://www.imdb.com/title/tt0329774/"
"56","tt0134847","Thu Nov  3 00:36:18 2011","Thu Nov  3 00:36:18 2011","","Pitch Black","Feature Film","David Twohy","7.1","109","2000","action, horror, sci_fi","178492","2000-02-18","http://www.imdb.com/title/tt0134847/"
"57","tt0296572","Thu Nov  3 00:37:17 2011","Thu Nov  3 00:37:17 2011","","The Chronicles of Riddick","Feature Film","David Twohy","6.7","119","2004","action, adventure, sci_fi, thriller","168965","2004-06-03","http://www.imdb.com/title/tt0296572/"
"58","tt0407658","Thu Nov  3 00:37:27 2011","Thu Nov  3 00:37:27 2011","","The Chronicles of Riddick: Dark Fury","Video","Peter Chung","6.7","35","2004","action, animation, sci_fi","7773","2004-06-15","http://www.imdb.com/title/tt0407658/"
"59","tt1411250","Thu Nov  3 00:38:03 2011","Thu Nov  3 00:38:03 2011","","Riddick","Feature Film","David Twohy","6.4","119","2013","action, sci_fi, thriller","108390","2013-09-04","http://www.imdb.com/title/tt1411250/"
"60","tt0293662","Thu Nov  3 00:38:25 2011","Thu Nov  3 00:38:25 2011","","The Transporter","Feature Film","Louis Leterrier, Cory Yuen","6.8","92","2002","action, crime, thriller","211487","2002-10-02","http://www.imdb.com/title/tt0293662/"
"61","tt0388482","Thu Nov  3 00:38:32 2011","Thu Nov  3 00:38:32 2011","","Transporter 2","Feature Film","Louis Leterrier","6.3","87","2005","action, crime, thriller","137299","2005-08-03","http://www.imdb.com/title/tt0388482/"
"62","tt1129442","Thu Nov  3 00:38:49 2011","Thu Nov  3 00:38:49 2011","","Transporter 3","Feature Film","Olivier Megaton","6.0","104","2008","action, adventure, crime, mystery, thriller","108246","2008-11-26","http://www.imdb.com/title/tt1129442/"
"63","tt0479884","Thu Nov  3 00:40:59 2011","Thu Nov  3 00:40:59 2011","","Crank","Feature Film","Neveldine, Taylor","7.0","88","2006","action, crime, thriller","176343","2006-08-31","http://www.imdb.com/title/tt0479884/"
"64","tt1121931","Thu Nov  3 00:42:56 2011","Thu Nov  3 00:42:56 2011","","Crank: High Voltage","Feature Film","Neveldine, Taylor","6.2","96","2009","action, crime, thriller","97202","2009-04-16","http://www.imdb.com/title/tt1121931/"
"65","tt0078748","Thu Nov  3 01:02:21 2011","Thu Nov  3 01:02:21 2011","","Alien","Feature Film","Ridley Scott","8.5","117","1979","horror, sci_fi","477372","1979-05-25","http://www.imdb.com/title/tt0078748/"
"66","tt0090605","Thu Nov  3 01:02:45 2011","Thu Nov  3 01:02:45 2011","","Aliens","Feature Film","James Cameron","8.4","137","1986","action, adventure, sci_fi, thriller","421034","1986-07-18","http://www.imdb.com/title/tt0090605/"
"67","tt0103644","Thu Nov  3 01:03:14 2011","Thu Nov  3 01:03:14 2011","","Alien³","Feature Film","David Fincher","6.4","114","1992","horror, sci_fi, thriller","179782","1992-05-22","http://www.imdb.com/title/tt0103644/"
"68","tt0118583","Thu Nov  3 01:03:26 2011","Thu Nov  3 01:03:26 2011","","Alien: Resurrection","Feature Film","Jean-Pierre Jeunet","6.3","109","1997","action, sci_fi, thriller","147998","1997-11-06","http://www.imdb.com/title/tt0118583/"
"69","tt0370263","Thu Nov  3 01:04:10 2011","Thu Nov  3 01:04:10 2011","","AVP: Alien vs. Predator","Feature Film","Paul W.S. Anderson","5.6","101","2004","action, adventure, sci_fi, thriller","128010","2004-08-12","http://www.imdb.com/title/tt0370263/"
"70","tt0758730","Thu Nov  3 01:04:41 2011","Thu Nov  3 01:04:41 2011","","Aliens vs. Predator: Requiem","Feature Film","The Brothers Strause, The Brothers Strause","4.7","94","2007","action, horror, sci_fi, thriller","83971","2007-12-25","http://www.imdb.com/title/tt0758730/"
"71","tt0093773","Thu Nov  3 01:10:46 2011","Thu Nov  3 01:10:46 2011","","Predator","Feature Film","John McTiernan","7.8","107","1987","action, sci_fi, thriller","258192","1987-06-12","http://www.imdb.com/title/tt0093773/"
"72","tt0100403","Thu Nov  3 01:10:54 2011","Thu Nov  3 01:10:54 2011","","Predator 2","Feature Film","Stephen Hopkins","6.2","108","1990","action, sci_fi, thriller","88599","1990-11-19","http://www.imdb.com/title/tt0100403/"
"73","tt1424381","Thu Nov  3 01:11:04 2011","Thu Nov  3 01:11:04 2011","","Predators","Feature Film","Nimród Antal","6.4","107","2010","action, adventure, sci_fi, thriller","156274","2010-07-07","http://www.imdb.com/title/tt1424381/"
"74","tt0083907","Thu Nov  3 01:11:37 2011","Thu Nov  3 01:11:37 2011","","The Evil Dead","Feature Film","Sam Raimi","7.6","85","1981","horror","122608","1981-10-15","http://www.imdb.com/title/tt0083907/"
"75","tt0092991","Thu Nov  3 01:11:50 2011","Thu Nov  3 01:11:50 2011","","Evil Dead II","Feature Film","Sam Raimi","7.8","84","1987","comedy, horror","98349","1987-03-13","http://www.imdb.com/title/tt0092991/"
"76","tt0106308","Thu Nov  3 01:12:06 2011","Thu Nov  3 01:12:06 2011","","Army of Darkness","Feature Film","Sam Raimi","7.6","81","1992","comedy, fantasy, horror","112979","1992-10-09","http://www.imdb.com/title/tt0106308/"
"77","tt0387564","Thu Nov  3 01:12:51 2011","Thu Nov  3 01:12:51 2011","","Saw","Feature Film","James Wan","7.7","103","2004","horror, mystery","263061","2004-01-19","http://www.imdb.com/title/tt0387564/"
"78","tt0432348","Thu Nov  3 01:13:16 2011","Thu Nov  3 01:13:16 2011","","Saw II","Feature Film","Darren Lynn Bousman","6.6","93","2005","horror, mystery","169013","2005-10-28","http://www.imdb.com/title/tt0432348/"
"79","tt0489270","Thu Nov  3 01:13:34 2011","Thu Nov  3 01:13:34 2011","","Saw III","Feature Film","Darren Lynn Bousman","6.2","108","2006","horror, mystery","126478","2006-10-26","http://www.imdb.com/title/tt0489270/"
"80","tt0890870","Thu Nov  3 01:14:12 2011","Thu Nov  3 01:14:12 2011","","Saw IV","Feature Film","Darren Lynn Bousman","5.9","93","2007","horror, mystery","98443","2007-10-25","http://www.imdb.com/title/tt0890870/"
"81","tt1132626","Thu Nov  3 01:14:40 2011","Thu Nov  3 01:14:40 2011","","Saw V","Feature Film","David Hackl","5.8","92","2008","horror, mystery","77362","2008-10-23","http://www.imdb.com/title/tt1132626/"
"82","tt1233227","Thu Nov  3 01:15:11 2011","Thu Nov  3 01:15:11 2011","","Saw VI","Feature Film","Kevin Greutert","6.0","90","2009","horror, mystery","65941","2009-10-22","http://www.imdb.com/title/tt1233227/"
"83","tt1477076","Thu Nov  3 01:16:23 2011","Thu Nov  3 01:16:23 2011","","Saw 3D: The Final Chapter","Feature Film","Kevin Greutert","5.6","90","2010","horror, mystery","59546","2010-10-21","http://www.imdb.com/title/tt1477076/"
"84","tt0114508","Sun Nov  6 00:11:00 2011","Sun Nov  6 00:11:00 2011","","Species","Feature Film","Roger Donaldson","5.8","108","1995","action, horror, sci_fi","56119","1995-07-07","http://www.imdb.com/title/tt0114508/"
"85","tt0120841","Sun Nov  6 00:11:50 2011","Sun Nov  6 00:11:50 2011","","Species II","Feature Film","Peter Medak","4.2","93","1998","action, horror, sci_fi","21156","1998-04-10","http://www.imdb.com/title/tt0120841/"
"86","tt0410650","Sun Nov  6 00:12:40 2011","Sun Nov  6 00:12:40 2011","","Species III","Video","Brad Turner","4.2","111","2004","sci_fi, horror, thriller","6188","2004-11-27","http://www.imdb.com/title/tt0410650/"
"87","tt0844894","Sun Nov  6 00:13:23 2011","Sun Nov  6 00:13:23 2011","","Species: The Awakening","Video","Nick Lyon","4.1","103","2007","horror, sci_fi, thriller","4085","2007-10-02","http://www.imdb.com/title/tt0844894/"
"88","tt0117571","Sun Nov  6 00:13:48 2011","Sun Nov  6 00:13:48 2011","","Scream","Feature Film","Wes Craven","7.2","111","1996","horror, mystery","196626","1996-12-18","http://www.imdb.com/title/tt0117571/"
"89","tt0120082","Sun Nov  6 00:14:00 2011","Sun Nov  6 00:14:00 2011","","Scream 2","Feature Film","Wes Craven","6.1","120","1997","horror, mystery","111571","1997-12-10","http://www.imdb.com/title/tt0120082/"
"90","tt0134084","Sun Nov  6 00:14:09 2011","Sun Nov  6 00:14:09 2011","","Scream 3","Feature Film","Wes Craven","5.5","116","2000","horror, mystery","87580","2000-02-03","http://www.imdb.com/title/tt0134084/"
"91","tt1262416","Sun Nov  6 00:14:22 2011","Sun Nov  6 00:14:22 2011","","Scream 4","Feature Film","Wes Craven","6.2","111","2011","horror, mystery","93197","2011-04-11","http://www.imdb.com/title/tt1262416/"
"92","tt0195714","Sun Nov  6 00:15:11 2011","Sun Nov  6 00:15:11 2011","","Final Destination","Feature Film","James Wong","6.7","98","2000","horror, mystery, thriller","160829","2000-03-16","http://www.imdb.com/title/tt0195714/"
"93","tt0309593","Sun Nov  6 00:15:25 2011","Sun Nov  6 00:15:25 2011","","Final Destination 2","Feature Film","David R. Ellis","6.2","90","2003","horror, thriller","108237","2003-01-30","http://www.imdb.com/title/tt0309593/"
"94","tt0414982","Sun Nov  6 00:15:41 2011","Sun Nov  6 00:15:41 2011","","Final Destination 3","Feature Film","James Wong","5.8","93","2006","horror, thriller","90945","2006-02-09","http://www.imdb.com/title/tt0414982/"
"95","tt1144884","Sun Nov  6 00:15:54 2011","Sun Nov  6 00:15:54 2011","","The Final Destination","Feature Film","David R. Ellis","5.1","82","2009","horror, thriller","66414","2009-08-26","http://www.imdb.com/title/tt1144884/"
"96","tt1622979","Sun Nov  6 00:16:02 2011","Sun Nov  6 00:16:02 2011","","Final Destination 5","Feature Film","Steven Quale","5.9","92","2011","horror, thriller","74413","2011-08-04","http://www.imdb.com/title/tt1622979/"
"97","tt0320691","Sun Nov  6 04:57:44 2011","Sun Nov  6 04:57:44 2011","","Underworld","Feature Film","Len Wiseman","7.0","121","2003","action, fantasy, thriller","187105","2003-09-08","http://www.imdb.com/title/tt0320691/"
"98","tt0401855","Sun Nov  6 04:58:06 2011","Sun Nov  6 04:58:06 2011","","Underworld: Evolution","Feature Film","Len Wiseman","6.8","106","2006","action, fantasy, sci_fi, thriller","140088","2006-01-12","http://www.imdb.com/title/tt0401855/"
"99","tt0834001","Sun Nov  6 04:58:17 2011","Sun Nov  6 04:58:17 2011","","Underworld: Rise of the Lycans","Feature Film","Patrick Tatopoulos","6.6","92","2009","action, adventure, fantasy, sci_fi, thriller","105275","2009-01-22","http://www.imdb.com/title/tt0834001/"
"100","tt1496025","Sun Nov  6 04:58:38 2011","Sun Nov  6 04:58:38 2011","","Underworld: Awakening","Feature Film","Mårlind, Stein","6.4","88","2012","action, fantasy, horror","103449","2012-01-19","http://www.imdb.com/title/tt1496025/"
"101","tt0099365","Sun Nov  6 05:28:02 2011","Sun Nov  6 05:28:02 2011","","Darkman","Feature Film","Sam Raimi","6.4","96","1990","action, crime, fantasy, sci_fi, thriller","43921","1990-08-24","http://www.imdb.com/title/tt0099365/"
"102","tt0109552","Sun Nov  6 05:28:08 2011","Sun Nov  6 05:28:08 2011","","Darkman II: The Return of Durant","Video","Bradford May","5.0","93","1995","action, crime, horror, sci_fi, thriller","3274","1995-07-11","http://www.imdb.com/title/tt0109552/"
"103","tt0116033","Sun Nov  6 05:28:14 2011","Sun Nov  6 05:28:14 2011","","Darkman III: Die Darkman Die","Video","Bradford May","4.7","87","1996","action, crime, horror, sci_fi, thriller","2385","1996-08-20","http://www.imdb.com/title/tt0116033/"
"104","tt0117060","Sun Nov  6 05:28:47 2011","Sun Nov  6 05:28:47 2011","","Mission: Impossible","Feature Film","Brian De Palma","7.1","110","1996","action, adventure, thriller","256875","1996-05-22","http://www.imdb.com/title/tt0117060/"
"105","tt0120755","Sun Nov  6 05:28:55 2011","Sun Nov  6 05:28:55 2011","","Mission: Impossible II","Feature Film","John Woo","6.0","123","2000","action, adventure, thriller","206053","2000-05-24","http://www.imdb.com/title/tt0120755/"
"106","tt0317919","Sun Nov  6 05:29:00 2011","Sun Nov  6 05:29:00 2011","","Mission: Impossible III","Feature Film","J.J. Abrams","6.8","126","2006","action, adventure, thriller","218158","2006-04-24","http://www.imdb.com/title/tt0317919/"
"107","tt1229238","Sun Nov  6 05:29:07 2011","Sun Nov  6 05:29:07 2011","","Mission: Impossible - Ghost Protocol","Feature Film","Brad Bird","7.4","133","2011","action, adventure, thriller","313818","2011-12-07","http://www.imdb.com/title/tt1229238/"
"108","tt0418279","Sun Nov  6 05:29:46 2011","Sun Nov  6 05:29:46 2011","","Transformers","Feature Film","Michael Bay","7.2","144","2007","action, adventure, sci_fi","459735","2007-06-12","http://www.imdb.com/title/tt0418279/"
"109","tt1055369","Sun Nov  6 05:29:55 2011","Sun Nov  6 05:29:55 2011","","Transformers: Revenge of the Fallen","Feature Film","Michael Bay","6.0","150","2009","action, adventure, sci_fi","285455","2009-06-19","http://www.imdb.com/title/tt1055369/"
"110","tt1399103","Sun Nov  6 05:30:04 2011","Sun Nov  6 05:30:04 2011","","Transformers: Dark of the Moon","Feature Film","Michael Bay","6.3","154","2011","action, adventure, sci_fi","289599","2011-06-23","http://www.imdb.com/title/tt1399103/"
"111","tt0163651","Mon Nov  7 02:12:28 2011","Mon Nov  7 02:12:28 2011","","American Pie","Feature Film","Paul Weitz","7.0","95","1999","comedy, romance","287311","1999-07-09","http://www.imdb.com/title/tt0163651/"
"112","tt0252866","Mon Nov  7 02:12:36 2011","Mon Nov  7 02:12:36 2011","","American Pie 2","Feature Film","J.B. Rogers","6.4","108","2001","comedy, romance","180893","2001-08-06","http://www.imdb.com/title/tt0252866/"
"113","tt0328828","Mon Nov  7 02:12:45 2011","Mon Nov  7 02:12:45 2011","","American Wedding","Feature Film","Jesse Dylan","6.3","96","2003","comedy, romance","146240","2003-07-24","http://www.imdb.com/title/tt0328828/"
"114","tt0436058","Mon Nov  7 02:13:12 2011","Mon Nov  7 02:13:12 2011","","American Pie Presents Band Camp","Video","Steve Rash","5.0","87","2005","comedy","48038","2005-10-31","http://www.imdb.com/title/tt0436058/"
"115","tt0808146","Mon Nov  7 02:13:48 2011","Mon Nov  7 02:13:48 2011","","American Pie Presents The Naked Mile","Video","Joe Nussbaum","5.1","97","2006","comedy","44318","2006-12-01","http://www.imdb.com/title/tt0808146/"
"116","tt0974959","Mon Nov  7 02:14:18 2011","Mon Nov  7 02:14:18 2011","","American Pie Presents Beta House","Video","Andrew Waller","5.3","88","2007","comedy","42408","2007-12-10","http://www.imdb.com/title/tt0974959/"
"117","tt1407050","Mon Nov  7 02:14:31 2011","Mon Nov  7 02:14:31 2011","","American Pie Presents: The Book of Love","Video","John Putch","4.7","93","2009","comedy","28395","2009-12-01","http://www.imdb.com/title/tt1407050/"
